,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX,chrY
NA20905-hap1,,S,S,,S,S,,S,,S,S,C,,,,C,,,,,,,,
NA20905-hap2,,,C,,,C,,C,C,C,,C,,,,S,S,,C,S,C,C,,
HG02165-hap1,,,C,S,C,C,S,,C,C,C,C,,,S,C,S,,,C,,C,S,
HG02165-hap2,,,S,C,C,,C,,C,C,C,C,,C,,C,S,,S,,,,C,
NA18983-hap1,C,S,,S,,C,,C,C,S,C,C,,,,C,,,S,S,,,,
NA18983-hap2,S,S,,C,,S,,C,C,C,C,C,,,,C,,,S,C,,,,
HG02040-hap1,,C,,S,S,C,C,C,,,C,C,,,,,C,C,C,C,,S,,
HG02040-hap2,,C,,,C,C,C,S,C,C,S,S,,S,,C,C,C,S,S,,,,
HG02965-hap1,,C,,S,C,C,C,C,S,C,C,,,S,,C,C,,S,S,,,,
HG02965-hap2,C,C,,S,C,S,C,C,C,,C,C,C,,S,C,C,C,C,,,C,,
HG00099-hap1,,C,,,C,,S,C,,C,S,C,,,,C,,C,C,C,,,,
HG00099-hap2,,,,C,C,S,S,C,C,C,C,C,,,,C,,C,C,C,,S,,
NA20805-hap1,C,,C,,C,C,,C,C,S,C,S,,,,C,,,C,S,,,,
NA20805-hap2,,,C,C,C,C,C,C,,C,,C,,,,C,,,S,S,,,,
HG00323-hap1,C,,C,,S,S,C,C,C,,,C,,,,C,S,C,,C,,,S,
HG00323-hap2,S,,C,,C,C,C,C,S,,C,S,,,,C,S,,S,C,,S,C,
NA18971-hap1,,S,,C,S,,C,,,C,C,C,,,,C,,,C,C,,S,,
NA18971-hap2,,C,,C,C,C,S,,,S,C,C,,,,C,,,S,C,S,S,,
HG02155-hap1,,C,S,C,C,,C,C,C,S,C,C,,,C,,,,S,C,,,,
HG02155-hap2,,C,,S,S,C,,C,S,C,C,,,C,,,,,C,S,,,,
HG03139-hap1,,C,C,C,C,,S,,C,,C,,S,,,C,C,S,C,C,,C,,
HG03139-hap2,,S,C,C,C,,,,C,S,C,C,C,C,,C,S,C,C,C,,,,
HG03130-hap1,C,S,,S,S,,C,C,C,C,C,C,C,,,,,,C,C,,C,,
HG03130-hap2,S,S,,S,C,,S,S,C,C,C,S,,S,,,,C,S,,,,,
NA18612-hap1,,S,S,,S,,S,S,C,C,S,,,,,,,,C,,,,,
NA18612-hap2,,C,C,,C,,C,S,S,C,C,,,,,,,,C,,,,C,
HG03209-hap1,,S,S,S,C,C,C,C,C,S,C,C,,,C,C,S,C,S,S,C,,,
HG03209-hap2,,C,C,C,S,S,C,C,C,,C,C,,,,S,S,S,S,C,,,,
NA18747-hap1,,,,,,S,,C,C,,,C,,,,S,,,S,C,,,,
NA18747-hap2,,,,,,,,C,C,C,C,C,,,,S,,C,S,,,,C,
NA18522-hap1,S,C,S,S,C,C,S,,C,,S,C,,,,C,C,C,S,S,,,,
NA18522-hap2,S,C,C,C,S,C,C,,S,S,S,C,S,,,S,,C,C,S,,,,
HG00280-hap1,,,,S,,C,C,S,C,C,C,C,,,,,,S,,C,,,,
HG00280-hap2,,,,C,,S,C,S,S,C,S,C,S,,,,,C,C,C,,,,
HG00140-hap1,C,C,,S,,C,C,C,C,C,C,S,,C,,C,,,C,C,,,,
HG00140-hap2,S,C,C,C,C,C,C,C,,C,C,S,,S,,C,,,S,C,,C,,
HG02976-hap1,,,,,C,,C,C,,,C,C,,,,C,,S,C,C,,,,
HG02976-hap2,C,C,,,C,,,,,S,C,C,,,,S,,C,S,,,,,
HG03195-hap1,C,C,C,,C,,,S,S,,,C,,,S,,C,C,C,,,C,C,
HG03195-hap2,S,C,C,,C,,C,S,C,,,C,,,C,C,C,C,,C,,C,,
NA19043-hap1,,,C,,S,C,C,C,,S,C,C,,S,,,C,S,,S,,C,,
NA19043-hap2,,,S,,,S,C,C,,S,C,C,,,,S,S,S,C,C,,C,,
NA20752-hap1,,,,S,C,C,C,S,S,,C,C,,,,S,,,C,C,,,,
NA20752-hap2,,,,S,S,C,C,S,,C,C,S,,,,S,S,S,C,C,S,,,
HG02273-hap1,,,C,,,,,C,S,C,C,C,,,,S,S,C,C,C,,,S,
HG02273-hap2,S,,,,,S,,C,,S,C,C,,,,C,C,S,C,C,,,,
HG02922-hap1,,C,C,,C,,S,C,,S,C,C,,,S,C,C,C,,C,,,,
HG02922-hap2,,C,,C,C,,,,S,,C,C,,,,S,,C,C,C,,,S,
