sample_id,mat_num_contigs,mat_total_len,mat_AUN,mat_full_sgl,mat_full_dup,mat_perc_sgl,mat_switch,mat_hamming,mat_qv,pat_num_contigs,pat_total_len,pat_AUN,pat_full_sgl,pat_full_dup,pat_perc_sgl,pat_switch,pat_hamming,pat_qv
HG00733,80,3.0414,138.83,34716,147,0.9846914277644401,0.008685,0.009497,56.22,68,3.0384,138.42,34747,117,0.9847196723626607,0.008332,0.006614999999999999,56.73
HG01109,95,3.0337,123.07,34685,114,0.9828837734783222,0.00716,0.007376000000000001,51.80,93,2.9147,122.46,34738,115,0.9844089817822341,0.002654,0.002416,51.73
HG01243,78,3.0314,129.22,34625,143,0.982008190933484,0.005431,0.004973,54.89,75,2.9185,132.81,34625,133,0.9817257449512781,0.00417,0.006959999999999999,55.46
HG02055,74,3.0307,121.92,34616,166,0.9824036153085722,0.005117,0.004355,56.06,77,2.9577,130.37,34603,143,0.9813868097726309,0.003343,0.0025700000000000002,56.73
HG02080,72,3.0361,136.90,34688,143,0.9837876006213812,0.007141,0.005744,58.76,66,3.0274,136.26,34707,137,0.9841547803982489,0.008846,0.0076100000000000004,58.20
HG02109,59,3.0318,133.64,34658,120,0.9822906369156899,0.005052,0.004699999999999999,36.03,81,3.0336,132.23,34677,108,0.982488349103234,0.002718,0.002411,36.06
HG02145,75,3.0375,143.13,34622,127,0.9814715435672927,0.006716,0.005781,57.17,124,2.9380,143.60,34627,132,0.9817539895494987,0.001441,0.001084,54.27
HG02723,53,3.0359,143.51,34634,151,0.982488349103234,0.005496999999999999,0.004403000000000001,58.47,61,3.0474,144.02,34641,127,0.982008190933484,0.006361,0.00528,58.48
HG02818,92,3.0466,136.82,34649,115,0.9818952125406016,0.0076619999999999995,0.008426,55.15,61,3.0202,137.59,34568,150,0.9805959610224545,0.005463,0.005001,55.60
HG03098,82,3.0661,126.57,34600,148,0.9814432989690721,0.004532,0.003407,52.87,82,2.9382,123.41,34604,107,0.9803982488349103,0.004739999999999999,0.004293,53.95
HG03486,96,3.0354,123.67,34589,135,0.980765428611778,0.006701,0.006412999999999999,55.90,100,3.0545,136.44,34573,145,0.9805959610224545,0.008062,0.006541,54.82
HG03492,67,3.0267,135.95,34706,174,0.9851715859341901,0.00642,0.006962,56.10,101,2.9356,122.61,34694,136,0.9837593560231606,0.003283,0.002457,57.50
NA18906,80,3.0307,135.10,34531,194,0.9807936732099986,0.005201,0.0044009999999999995,55.13,99,3.0365,136.03,34602,162,0.9818952125406016,0.005359,0.005737,54.33
NA19240,48,3.0236,142.75,34616,148,0.9818952125406016,0.003068,0.0026379999999999997,56.16,47,3.0378,143.83,34610,136,0.9813868097726309,0.007738,0.007334,56.46
NA20129,73,3.0505,139.14,34658,120,0.9822906369156899,0.005281,0.004981,56.23,76,3.0350,133.28,34630,143,0.9821494139245869,0.006520000000000001,0.006664,56.29
NA21309,66,3.0469,128.92,34677,160,0.9839570682107047,0.007818,0.006455,56.17,74,3.0379,128.34,34570,142,0.9804264934331309,0.01375,0.012316,55.62
HG002,75,3.0351,130.65,34678,130,0.9831379748623076,0.007845999999999999,0.006808,57.82,80,2.9374,131.64,34655,133,0.9825730828978958,0.005745,0.004712,59.09
